FIPSTEXT,CountyName,Entity,StateName,Goats
01001,Autauga,County,Alabama,0.77
01003,Baldwin,County,Alabama,0.66
01005,Barbour,County,Alabama,0.21
01007,Bibb,County,Alabama,0.57
01009,Blount,County,Alabama,0.72
01011,Bullock,County,Alabama,0.28
01013,Butler,County,Alabama,0.74
01015,Calhoun,County,Alabama,1.09
01017,Chambers,County,Alabama,0.34
01019,Cherokee,County,Alabama,0.51
01021,Chilton,County,Alabama,0.88
01023,Choctaw,County,Alabama,0.89
01025,Clarke,County,Alabama,0.99
01027,Clay,County,Alabama,0.22
01029,Cleburne,County,Alabama,0.44
01031,Coffee,County,Alabama,0.26
01033,Colbert,County,Alabama,0.44
01035,Conecuh,County,Alabama,0.19
01037,Coosa,County,Alabama,0.24
01039,Covington,County,Alabama,0.41
01041,Crenshaw,County,Alabama,0.30
01043,Cullman,County,Alabama,1.19
01045,Dale,County,Alabama,0.36
01047,Dallas,County,Alabama,0.16
01049,DeKalb,County,Alabama,0.86
01051,Elmore,County,Alabama,1.19
01053,Escambia,County,Alabama,0.53
01055,Etowah,County,Alabama,1.19
01057,Fayette,County,Alabama,0.36
01059,Franklin,County,Alabama,0.38
01061,Geneva,County,Alabama,0.32
01063,Greene,County,Alabama,0.07
01065,Hale,County,Alabama,0.10
01067,Henry,County,Alabama,0.16
01069,Houston,County,Alabama,0.31
01071,Jackson,County,Alabama,1.29
01073,Jefferson,County,Alabama,2.19
01075,Lamar,County,Alabama,0.60
01077,Lauderdale,County,Alabama,1.16
01079,Lawrence,County,Alabama,0.90
01081,Lee,County,Alabama,1.76
01083,Limestone,County,Alabama,0.73
01085,Lowndes,County,Alabama,0.17
01087,Macon,County,Alabama,0.83
01089,Madison,County,Alabama,0.67
01091,Marengo,County,Alabama,0.55
01093,Marion,County,Alabama,0.36
01095,Marshall,County,Alabama,0.85
01097,Mobile,County,Alabama,1.18
01099,Monroe,County,Alabama,0.53
01101,Montgomery,County,Alabama,0.35
01103,Morgan,County,Alabama,1.08
01105,Perry,County,Alabama,0.29
01107,Pickens,County,Alabama,0.32
01109,Pike,County,Alabama,0.23
01111,Randolph,County,Alabama,0.27
01113,Russell,County,Alabama,1.20
01115,St. Clair,County,Alabama,1.28
01117,Shelby,County,Alabama,1.06
01119,Sumter,County,Alabama,0.14
01121,Talladega,County,Alabama,0.91
01123,Tallapoosa,County,Alabama,0.98
01125,Tuscaloosa,County,Alabama,0.92
